功能编码,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
PLT-MCH-001,平台端,商户管理,商户管理,P0,商户列表,商户列表查询,按条件筛选查询所有商户信息,平台管理员,登录成功,1.商户名称(模糊匹配)2.商户状态(待审核/已通过/已驳回/已冻结)3.商户类型(工程仓/供应商/施工方)4.创建时间范围,1.总条数2.分页列表3.筛选条件回显,1.输入筛选条件自动触发查询2.分页每页20条3.支持重置筛选条件,1.页面展示最新筛选结果2.筛选条件保留在URL参数,1.网络错误→提示"加载失败"+重试按钮2.无数据→显示空状态插画,平台运营人员日常巡检所有入驻商户,前端筛选条件→API请求参数→后端分页查询→前端渲染列表,1.搜索输入框2.状态下拉选择器3.高级筛选展开面板4.分页组件,获取商户列表接口
PLT-MCH-002,平台端,商户管理,商户管理,P0,商户列表,新增商户,创建新的商户主体,平台管理员,登录成功,1.商户名称(必填,2-50字)2.商户类型(必填,下拉单选)3.统一社会信用代码(必填,18位校验)4.法人姓名(必填,2-20字)5.法人手机号(必填,手机号格式校验)6.营业执照图片(必填,支持jpg/png,≤5M),1.成功→返回商户ID+提示"创建成功"2.失败→返回具体错误信息,1.点击"新增商户"按钮打开弹窗2.表单实时校验,标红提示3.图片上传显示进度条4.提交按钮置灰直到必填项完成,1.商户表新增一条记录2.状态默认为"待审核"3.触发待审核消息通知,1.信用代码重复→提示"该信用代码已注册"2.图片过大→提示"图片不能超过5M"3.手机号格式错误→标红提示,快速录入合作商户,表单数据→校验通过→调用创建接口→商户数据入库,1.【新增商户】主按钮2.表单弹窗(8个表单项)3.图片上传区域4.提交/取消按钮,创建商户接口
PLT-MCH-003,平台端,商户管理,商户管理,P0,商户列表,商户详情,查看商户的详细信息,平台管理员,1.登录成功2.列表有数据,1.商户ID(路径参数),1.主体基本信息(名称/代码/法人等)2.资质文件展示3.审核历史记录4.关联订单统计,1.列表点击"商户名称"跳转详情页2.分Tab展示不同维度信息3.敏感信息脱敏显示,1.记录查看操作日志,1.商户不存在→提示"商户不存在"返回列表,查看特定商户完整档案,商户ID→查询详情接口→组装数据→详情页渲染,1.商户名称跳转链接2.返回列表按钮3.信息展示卡片4.历史记录时间线,获取商户详情接口
PLT-MCH-004,平台端,商户管理,商户管理,P0,商户列表,商户审核,审核商户入驻申请,平台管理员,1.登录成功2.商户状态="待审核",1.商户ID2.审核结果(通过/驳回)3.驳回原因(驳回时必填,10-200字)4.审核备注(可选),1.成功→提示"审核成功"刷新列表2.失败→提示失败原因,1.点击"审核"按钮打开审核弹窗2.驳回自动显示"驳回原因"输入框3.通过不需要输入原因,1.更新商户状态2.记录审核人+审核时间3.发送审核结果通知,1.重复审核→提示"该商户已审核"2.驳回原因为空→表单校验不通过,商户入驻审批流程,审核操作→状态变更→通知商户→记录审计日志,1.【审核】操作按钮(每行)2.审核结果单选组3.驳回原因文本域4.确定按钮,商户审核接口
PLT-PRD-001,平台端,商品管理,商品管理,P0,商品分类,分类树管理,维护商品分类树形结构,平台管理员,登录成功,1.分类名称(必填,2-30字)2.父分类ID(根分类为0)3.分类图标(可选)4.排序号(数字,越小越靠前)5.状态(启用/停用),1.树形结构展示2.拖拽操作反馈3.操作成功提示,1.支持拖拽调整层级和排序2.右键菜单增删改3.编辑后即时刷新树结构,1.分类结构更新2.影响关联的SPU商品,1.分类下有商品→删除时提示"该分类下有商品,不能删除"2.循环嵌套→拖拽无效提示,商品分类体系维护,拖拽排序→更新排序号→递归刷新子分类,1.树形结构面板2.新增子分类按钮3.删除确认弹窗4.拖拽手柄图标,分类增删改接口
PLT-PRD-002,平台端,商品管理,商品管理,P0,SPU管理,新增SPU,创建SPU商品,平台管理员,1.登录成功2.商品分类已配置3.规格属性已配置,1.SPU名称(必填,2-100字)2.所属分类(必填,分类树选择)3.品牌(可选)4.规格属性组(必选至少一组)5.商品主图(必填至少1张)6.商品描述(可选,富文本),1.成功→生成SPU编码跳转详情2.失败→返回具体字段错误,1.多步骤表单(共3步)2.每步校验通过才能下一步3.规格组合自动生成SKU预览,1.SPU表新增记录2.自动生成关联SKU记录,1.规格组合超过100个→提示"规格组合过多请精简"2.图片格式错误→提示上传格式,商品基础信息定义,SPU信息→按规格笛卡尔积→生成多个SKU,1.【新增SPU】主按钮2.步骤条导航3.规格组合预览表格4.图片上传墙,创建SPU接口
PLT-PRD-003,平台端,商品管理,商品管理,P0,SKU管理,SKU详情,查看SKU详细信息,平台管理员,1.登录成功2.SKU已存在,1.SKU ID(路径参数),1.基本信息卡片(编码/名称/分类/品牌)2.规格属性标签3.价格信息(供货基准价/建议销售价)4.准入供应商列表(含供货价/状态),1.分卡片式布局2.供应商状态不同颜色标签3.价格高亮显示,1.记录查看日志,1.SKU不存在→返回列表提示,查看商品详情,SKU ID→查询基本信息→关联查询供应商供货数据,1.返回列表按钮2.基本信息描述列表3.价格信息卡片4.供应商表格,SKU详情接口
PLT-MKT-001,平台端,商品市场,商品市场,P0,供应商品市场,商品上下架,供应商商品上下架操作,平台运营,1.登录成功2.商品已关联供应商,1.商品ID列表(支持批量)2.目标状态(上架/下架)3.下架原因(下架时可选),1.操作成功条数2.失败商品及原因,1.单行操作→即时反馈2.批量操作→进度条+结果汇总弹窗,1.更新商品上架状态2.记录操作人时间,1.已上架商品重复上架→提示"已上架"2.部分失败→展示成功数/失败数,商品上架审核管控,状态变更→影响工程仓端可见性,1.【上架】【下架】操作按钮2.批量选择复选框3.下架原因输入框,商品上下架接口
PLT-MKT-002,平台端,商品市场,商品市场,P0,销售商品市场,仓库筛选,按项目工程仓筛选商品,平台运营,登录成功,1.项目工程仓ID(一级下拉)2.子仓库ID(二级联动下拉),1.筛选后的商品列表2.选中仓库名称面包屑,1.选择项目仓后子仓库自动过滤2.支持清空筛选条件3.选中仓高亮标记,1.URL保留筛选参数2.列表即时刷新,1.无权限仓库→不出现在下拉列表,按仓查看不同销售商品,项目仓ID→过滤子仓库选项→按warehouseId查询商品列表,1.项目仓下拉选择器2.子仓库联动下拉3.筛选面包屑4.清空按钮,无(前端筛选+传参)
PLT-ORD-001,平台端,订单管理,订单管理,P0,订单详情,查看订单详细信息,平台管理员,1.登录成功2.订单已存在,1.订单ID(路径参数),1.订单基本信息(编号/时间/金额/状态)2.商品明细表格(名称/规格/数量/单价)3.订单状态时间线(带操作人+时间)4.收货/发票/支付信息,1.竖向时间线展示状态流转2.商品明细展开/收起3.关键信息高亮标红,1.标记已查看,1.订单不存在→提示"订单不存在",全平台订单监控,订单ID→查询基本信息→查询状态流转日志→查询支付关联信息,1.状态时间线组件2.商品明细表格3.订单卡片4.返回列表按钮,订单详情接口
PLT-STK-001,平台端,库存管理,库存管理,P1,出入库记录,出入库流水,查看所有出入库记录,平台管理员,登录成功,1.出入库类型(全部/入库/出库/调拨/盘点)2.仓库ID3.时间范围4.SKU编码/名称,1.分页列表2.出入库汇总统计3.每条记录关联单据号,1.不同类型用不同颜色标签2.点击单据号跳转对应单据详情,1.查询条件缓存,1.时间范围超过3个月→提示"建议缩小时间范围",库存流水审计追踪,多条件组合→分页查询→关联业务单据展示,1.类型Tab切换2.高级筛选面板3.单据号跳转链接4.汇总统计卡片,流水列表接口
PLT-FIN-001,平台端,财务中心,财务中心,P0,支付记录,支付流水,所有支付记录查询,平台财务,登录成功,1.支付状态(待支付/已支付/已取消/已退款)2.支付方式3.支付时间范围4.订单号/商户名称,1.支付列表2.汇总金额统计3.失败支付备注,1.失败支付红色高亮2.点击订单号跳转订单,1.导出后标记已导出,1.金额过大千分位显示,支付对账核查,支付流水→关联订单→关联商户对账,1.状态筛选Tab2.汇总金额卡片3.导出按钮4.订单号跳转链接,支付列表接口
PLT-SYS-001,平台端,系统设置,系统设置,P0,角色管理,角色权限配置,配置角色的菜单权限,平台超管,1.登录成功2.超管角色,1.角色ID2.菜单ID数组(树形勾选)3.数据权限范围,1.权限树结构2.已选中菜单高亮,1.全选/取消全选2.父节点选中子节点自动选中3.保存二次确认,1.权限更新后需重新登录生效2.记录权限变更日志,1.超管角色禁止修改→提示"超级管理员角色不可修改",系统权限管控,勾选菜单ID→保存角色菜单关联表→刷新用户权限缓存,1.权限树形组件2.全选按钮3.保存按钮4.确认弹窗,权限配置接口
