开发状态,所属端,模块,一级菜单,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口,
待开发,供应商端,首页,工作台,工作台,数据概览,供应商运营数据看板,管理员/业务员,登录成功,1.时间范围(今日/本周/本月),1.订单总金额2.订单总数3.待发货订单数4.待结算金额5.在售商品数6.本月新增订单,1.卡片式布局2.关键指标高亮3.趋势箭头,1.记录访问时间2.默认展示今日,1.无权限→跳转403页,供应商日常运营数据监控,时间范围→统计接口→计算趋势→渲染指标卡片,1.时间选择器2.数字卡片3.趋势箭头,供应商统计接口,不做
待开发,供应商端,商户中心,商户中心,主体信息,查看主体信息,所有人员,登录成功,1.供应商ID,1.供应商名称2.统一社会信用代码3.法人信息4.联系人+电话,1.卡片式展示2.敏感信息脱敏,1.无,1.信息不存在→显示"-",查看供应商档案,token→获取主体信息→渲染,1.信息卡片2.编辑按钮,主体信息接口,,
待开发,供应商端,商户中心,,主体信息,编辑信息,修改供应商基础信息,管理员,登录成功,1.联系人2.联系电话(手机号正则)3.地址4.营业执照图片,1.修改成功toast提示,1.表单页面2.实时校验标红3.图片上传进度,1.更新主体信息2.记录修改日志,1.手机号格式错误→标红提示,供应商信息变更,表单提交→前端校验→更新接口,1.编辑按钮2.表单页面3.提交按钮,更新信息接口,不做
待开发,供应商端,商品管理,商品管理,商品列表,商品列表,供应商商品列表,运营/管理员,登录成功,1.商品状态(已上架/已下架/待审核)2.分类3.搜索关键词,1.分页商品列表2.商品状态彩色标签,1.多Tab状态快速切换2.上下架按钮置灰逻辑,1.无,1.无数据→空状态按钮,供应商商品管理中心,状态筛选→分页查询→渲染列表,1.状态Tab切换2.商品卡片3.状态标签4.上下架按钮,商品列表接口,
待开发,供应商端,商品管理,,商品列表,商品详情,查看商品详情,运营人员,1.登录成功2.商品存在,1.商品SKU ID,1.商品基础信息2.规格属性3.供货价4.库存5.各工程仓报价,1.详情页分Tab展示,1.记录查看,1.商品不存在→返回列表,商品详情查看,SKU ID→查询详情→渲染,1.商品名称链接2.详情页,商品详情接口,
待开发,供应商端,商品管理,,商品列表,商品上架,供应商商品上架,运营人员,1.登录成功2.商品状态="已下架",1.商品SKU ID列表(支持批量),1.成功上架提示,1.单行操作即时反馈2.批量操作进度条,1.商品状态变"已上架"2.工程仓端可见,1.重复上架→提示"已上架",商品上架销售,状态更新→工程仓端商品可见,1.上架按钮2.批量操作复选框,商品上架接口,
待开发,供应商端,商品管理,,商品列表,商品下架,供应商商品下架,运营人员,1.登录成功2.商品状态="已上架",1.商品SKU ID列表2.下架原因(非必填),1.下架成功提示,1.二次确认弹窗,1.商品状态变"已下架"2.工程仓端不可见,1.重复下架→提示"已下架",商品临时下架,状态更新→工程仓端不可见,1.下架按钮2.确认弹窗3.下架原因输入,商品下架接口,
待开发,供应商端,商品管理,,商品列表,设置供货价,设置工程仓供货价格,运营/管理员,登录成功,1.商品SKU ID2.供货价格(>0),1.保存成功提示,1.弹窗编辑价格2.价格校验>0,1.更新供货价2.记录价格变更历史,1.价格≤0→提示"价格必须大于0",工程仓差异化定价,价格设置→更新供货关系表,1.设置价格按钮2.编辑弹窗,价格设置接口,
待开发,供应商端,商品管理,,新增商品,新增商品申请,申请新增商品,运营/管理员,登录成功,1.SPU名称(必填)2.所属分类3.规格属性4.主图(必填)5.供货价6.商品描述,1.提交成功提示状态变"待审核",1.多步骤表单2.每步校验通过进下一步,1.商品进入审核队列2.平台端可审核,1.必填项为空→表单校验,供应商新增商品到平台,填写信息→提交申请→平台审核→上架,1.新增商品按钮2.步骤条3.提交按钮,新增商品申请接口,
待开发,供应商端,商品管理,,新增商品,商品列表,新增商品申请列表,运营/管理员,登录成功,1.审核状态(待审核/已通过/已驳回),1.申请单列表,1.状态Tab切换,1.无,1.无数据→空状态,新增申请管理,状态筛选→分页查询,1.状态Tab2.申请单列表,申请列表接口,
待开发,供应商端,商品管理,,库存预警,库存预警列表,低库存预警商品,运营/管理员,登录成功,1.预警阈值设置,1.库存低于阈值的商品列表2.红色预警标记,1.库存数字红色标红,1.无,1.无预警→显示"暂无预警",库存安全监控,查询商品库存→低于阈值标红预警,1.预警阈值设置2.红色预警标3.补货按钮,库存查询接口,
待开发,供应商端,商品管理,,批量导入,商品批量导入,Excel批量导入商品,运营/管理员,登录成功,1.Excel文件(xlsx≤5M)2.导入模板,1.导入成功/失败统计,1.上传显示进度2.失败记录下载,1.成功的生成商品记录,1.模板不匹配→提示下载正确模板,大批量商品快速录入,下载模板→填写→上传→解析→入库,1.下载模板按钮2.文件上传区3.结果汇总,商品导入接口,
待开发,供应商端,订单管理,订单管理,订单列表,采购订单列表,工程仓采购订单,业务员/管理员,登录成功,1.订单状态(待确认/待发货/已完成/已取消)2.时间范围3.工程仓名称,1.多Tab切换状态2.订单卡片列表3.订单金额汇总,1.Tab切换状态2.点击进入详情,1.筛选条件缓存,1.无数据→空状态,工程仓采购订单管理中心,状态筛选→分页查询→渲染订单列表,1.状态Tab2.订单卡片3.操作按钮区,订单列表接口,
待开发,供应商端,订单管理,,订单列表,订单详情,查看订单详细信息,业务员/管理员,1.登录成功2.订单存在,1.订单ID,1.工程仓信息2.商品明细表格3.状态时间线4.收货/货损记录,1.竖向时间线展示流转节点,1.标记已查看,1.订单不存在→返回列表提示,订单完整信息查看,订单ID→查询详情+状态流转日志→渲染,1.状态时间线2.商品明细3.发货按钮,订单详情接口,
待开发,供应商端,订单管理,,订单列表,订单确认,确认接收到订单,业务员,1.登录成功2.订单状态="待确认",1.订单ID,1.确认成功状态变"待发货",1.确认按钮点击即时反馈,1.订单状态更新2.触发待发货通知,1.重复确认→提示"订单已确认",确认接单,点击确认→更新状态→通知客户,1.【确认订单】按钮,确认订单接口,
待开发,供应商端,订单管理,,订单列表,订单发货,处理订单发货,仓管/业务员,1.登录成功2.订单状态="待发货",1.订单ID2.物流公司(非必填)3.物流单号(非必填)4.发货商品实际数量,1.发货成功提示状态变"已发货",1.弹窗填写发货信息2.物流字段非必填无校验,1.订单状态更新2.发货记录3.物流信息记录,1.发货数量>订单数→提示"不能超订单数量",供应商发货处理,填写物流信息→提交→更新状态,1.【发货】按钮2.物流信息弹窗,发货接口,
待开发,供应商端,订单管理,,订单列表,取消订单,取消订单,业务员/管理员,1.登录成功2.订单状态="待确认"或"待发货",1.订单ID2.取消原因,1.取消成功提示刷新列表,1.二次确认弹窗2.取消原因输入,1.订单状态变"已取消"2.通知工程仓,1.已收货订单→提示"已收货不能取消",订单取消,点击取消→弹窗确认→调用取消接口,1.【取消订单】按钮2.确认弹窗,取消订单接口,
待开发,供应商端,订单管理,,订单导出,订单导出,订单数据导出Excel,财务/管理员,1.登录成功2.筛选结果,1.筛选条件,1.Excel文件下载,1.导出按钮显示进度,1.标记已导出,1.导出超过1000条→提示分批导出,订单数据报表,筛选→异步生成Excel→下载链接,1.导出按钮2.进度提示,导出接口,
待开发,供应商端,订单管理,,货损售后,货损列表,货损售后记录列表,售后/业务员,登录成功,1.售后状态(待处理/已补发/已退款/已关闭)2.时间范围,1.售后单列表2.关联原订单,1.状态Tab切换,1.无,1.无数据→空状态,收货货损售后处理,状态筛选→分页查询,1.状态Tab2.售后单列表,售后列表接口,
待开发,供应商端,订单管理,,货损售后,货损详情,查看货损详情,售后/业务员,1.登录成功2.售后单存在,1.售后单ID,1.货损证明图片2.货损说明3.关联订单商品,1.详情页展示图片预览,1.标记已查看,1.不存在→返回列表,货损详情核查,售后ID→查询详情+图片→渲染,1.图片预览2.货损说明3.处理按钮,售后详情接口,
待开发,供应商端,订单管理,,货损售后,补发处理,货损补发处理,售后/业务员,1.登录成功2.售后状态="待处理",1.售后单ID2.补发商品数量3.补发订单号,1.处理成功状态变"已补发",1.补发处理弹窗2.关联原订单商品,1.售后状态更新2.生成补发发货单,1.数量≤0→校验不通过,收货货损补发,确认补发→更新售后→生成补发单,1.【补发】按钮2.补发弹窗,售后处理接口,
待开发,供应商端,合作的工程仓,合作工程仓,工程仓列表,工程仓列表,已合作的工程仓列表,管理员/运营,登录成功,1.搜索关键词,1.合作工程仓列表,1.列表展示,1.无,1.无数据→空状态,合作工程仓管理,查询合作工程仓→渲染列表,1.工程仓卡片2.查看详情,工程仓列表接口,
待开发,供应商端,合作的工程仓,,工程仓详情,工程仓详情,合作工程仓详情,管理员/运营,1.登录成功2.工程仓存在,1.工程仓ID,1.工程仓基本信息2.历史订单3.采购金额统计,1.分Tab展示不同维度,1.记录查看,1.不存在→返回列表,工程仓合作详情查看,工程仓ID→查询基本信息+订单统计,1.信息卡片2.订单统计3.Tab切换,工程仓详情接口,
待开发,供应商端,合作的工程仓,,供货统计,供货统计,按工程仓统计供货,管理员/财务,登录成功,1.时间范围,1.各工程仓供货金额2.订单数量统计,1.排序功能,1.无,1.无数据→显示0,供货数据统计分析,时间范围→统计供货数据→渲染,1.排序按钮2.统计表格,供货统计接口,
待开发,供应商端,财务中心,财务中心,结算管理,结算单列表,应收结算单列表,财务/管理员,登录成功,1.结算状态(待结算/已结算)2.时间范围,1.结算单列表2.汇总金额,1.状态Tab切换,1.无,1.无数据→空状态,应收账款管理,状态筛选→分页查询,1.状态Tab2.结算单列表,结算单列表接口,
待开发,供应商端,财务中心,,结算管理,结算单详情,查看结算单详情,财务人员,1.登录成功2.结算单存在,1.结算单ID,1.结算明细2.关联订单,1.详情页展示,1.记录查看,1.不存在→返回列表,结算单详情查看,结算单ID→查询详情+关联订单,1.明细表格2.订单列表,结算单详情接口,
待开发,供应商端,财务中心,,对账单,对账单列表,与平台对账记录,财务/管理员,登录成功,1.对账状态2.时间范围,1.对账单列表,1.多条件筛选,1.无,1.无数据→空状态,对账管理,筛选→分页查询,1.筛选条件2.对账单列表,对账单接口,
待开发,供应商端,财务中心,,支付记录,支付流水,收款支付记录,财务/管理员,登录成功,1.支付状态2.时间范围3.订单号,1.支付列表2.到账金额汇总,1.到账高亮显示,1.汇总金额统计,1.无数据→空状态,供应商收款对账,筛选→查询支付列表→汇总统计,1.支付列表2.汇总金额卡片3.导出按钮,支付列表接口,
待开发,供应商端,财务中心,,销项发票,发票列表,开具的销项发票,财务人员,登录成功,1.发票状态2.时间范围,1.发票列表2.开票金额,1.列表展示,1.无,1.无数据→空状态,销项发票管理,筛选→分页查询,1.发票列表2.下载按钮,发票列表接口,
待开发,供应商端,财务中心,,销项发票,发票上传,上传销项发票,财务人员,登录成功,1.发票文件(PDF)2.发票号码3.关联结算单,1.上传成功提示,1.文件上传显示进度,1.生成发票记录,1.文件过大→提示压缩,发票归档上传,选择文件→上传→关联结算单,1.上传按钮2.文件选择器,发票上传接口,
待开发,供应商端,系统设置,系统设置,账号列表,账号列表,供应商子账号列表,管理员,登录成功,1.搜索关键词2.状态,1.账号列表,1.列表展示,1.无,1.无数据→空状态,子账号管理,筛选→查询账号列表,1.账号列表2.新增编辑按钮,账号列表接口,
待开发,供应商端,系统设置,,员工管理,员工列表,供应商员工列表,管理员,登录成功,1.部门2.状态,1.员工列表,1.列表展示,1.无,1.无数据→空状态,员工管理,查询员工列表,1.员工列表,员工列表接口,
待开发,供应商端,系统设置,,角色管理,角色列表,供应商角色列表,管理员,登录成功,1.无,1.角色列表,1.列表展示,1.无,1.无数据→空状态,角色管理,查询角色列表,1.角色列表2.配置权限按钮,角色列表接口,
待开发,供应商端,系统设置,,角色管理,权限配置,配置角色菜单权限,管理员,1.登录成功2.管理员角色,1.角色ID2.菜单权限数组,1.保存成功提示,1.树形勾选,1.权限更新生效,1.管理员不能修改→提示,角色权限分配,勾选菜单→保存角色权限,1.权限树形组件2.保存按钮,权限配置接口,
